Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,824,GMP,SHA,1950,2105,3,2:15,866,0,73H,"MU 9824,KE 5899"
FM,826,TOY,PVG,1355,1555, 2   6 ,3:00,1542,0,737,MU 9826
FM,829,PVG,PUS,1400,1650,7,1:50,800,0,738,"MU 9829,KE 5892"
FM,853,PVG,BKK,1825,2155,1234567,4:30,2895,0,738,MU 9853
FM,857,PVG,HKT,1800,2200,5,5:00,3533,0,738,"MU 9857,DL 6353"
FM,9116,SHA,XMN,1705,1900,1234567,1:55,803,0,73H,MU 9116
FM,9126,DLC,RIZ,1600,1710,6,1:10,439,0,73H,MU 9126
FM,9141,PVG,BPE,645,855,3,2:10,978,0,733,MU 9141
FM,9158,PEK,HGH,620,835,1234567,2:15,1147,0,738,MU 9158
FM,9167,PVG,HET,2210,50,12345 7,2:40,1402,0,738,MU 9167
FM,9179,PVG,CGQ,1600,1840,7,2:40,1468,0,73H,MU 9179
FM,9181,SWA,DYG,930,1130, 234 67,2:00,890,0,733,MU 9181
FM,9189,HRB,OHE,1140,1335,1   5  ,1:55,855,0,733,MU 9189
FM,9190,HRB,SWA,2000,10,1,4:10,2610,0,733,MU 9190
FM,9206,FOC,SHA,930,1100,1234567,1:30,605,0,738,MU 9206
FM,9219,SHA,URC,1410,1920,1234567,5:10,3272,0,737,MU 9219
FM,9221,PVG,LHW,1755,2110,1 3    ,3:15,1778,0,738,MU 9221
FM,9240,LYI,PVG,1115,1245,1  4  7,1:30,536,0,738,MU 9240
FM,9309,SHA,CAN,1330,1555,1 34 6 ,2:25,1175,0,333,MU 9309
FM,9341,PVG,DYG,2020,2250,1234567,2:30,1115,0,738,MU 9341
FM,9349,PVG,KWL,1205,1440, 2   6 ,2:35,1324,0,73H,MU 9349
FM,9350,KWL,PVG,1540,1810,12345 7,2:30,1324,0,73H,"MU 9350,DL 6734"
FM,9361,SHA,CSX,1650,1840,1234567,1:50,851,0,738,MU 9361
FM,9380,SZX,SHA,2030,2255,1 3 56 ,2:25,1207,0,738,MU 9380
FM,9384,NNG,PVG,735,1025,5,2:50,1648,0,73H,"MU 9384,DL 6378"
FM,9394,DSN,PVG,2100,2335,2,2:35,1424,0,73H,MU 9394
FM,9510,MDG,PVG,1955,2310,1234567,3:15,1633,0,73H,MU 9510
FM,9517,WNZ,SYX,1240,1530,1234567,2:50,1582,0,738,MU 9517
FM,9536,ZHA,XMN,1230,1415,1234567,1:45,877,0,733,MU 9536
FM,820,TSA,PVG,1340,1535,1 3  6 ,1:55,674,0,738,
FM,836,HND,PVG,155,435,1    6 ,3:40,1735,0,789,
FM,850,HKG,ZHA,1750,1930,5,1:40,386,0,737,MU 9850
FM,852,TSA,SHA,1130,1325, 2  5 7,1:55,679,0,333,"MU 9852,CI 8021"
FM,885,PVG,KUL,855,1450,1234567,5:55,3795,0,73H,MU 9801
FM,9108,PEK,SHA,1830,2050,1234567,2:20,1075,0,737,MU 9108
FM,9151,HGH,PEK,1640,1905,1 3 5 7,2:25,1147,0,738,MU 9151
FM,9175,WNZ,HAK,1110,1345,1234567,2:35,1376,0,73H,MU 9175
FM,9191,PVG,DLC,1015,1225,1234567,2:10,869,0,738,MU 9191
FM,9210,NNG,SHA,1840,2120,1234567,2:40,1614,0,737,MU 9210
FM,9295,HGH,CGO,1105,1250,1 3 5 7,1:45,781,0,738,MU 9295
FM,9305,SHA,CAN,930,1155,12345 7,2:25,1175,0,738,MU 9305
FM,9329,SHA,CGO,1430,1630,1234567,2:00,792,0,737,MU 9329
FM,9357,SHA,SWA,1240,1435,1234567,1:55,974,0,738,MU 9357
FM,9359,PVG,ZHA,1055,1355,1   5  ,3:00,1585,0,733,MU 9359
FM,9371,YNZ,YNJ,1500,1700,1234567,2:00,1323,0,738,MU 9371
FM,9385,PVG,NNG,845,1150,1,3:05,1648,0,738,MU 9385
FM,9411,PVG,MIG,815,1115,1 3456 ,3:00,1619,0,73H,MU 9411
FM,9452,KMG,SHA,1400,1710,1234567,3:10,1922,0,737,MU 9452
FM,9454,KMG,SHA,1700,2010,1234567,3:10,1922,0,73G,MU 9454
FM,9513,SHA,ZUH,835,1110,1234567,2:35,1291,0,738,MU 9513
FM,9521,SHA,SYX,1600,1925, 2 4 6 ,3:25,1867,0,738,MU 9521
FM,9541,CGO,KMG,740,1020,1234567,2:40,1481,0,738,MU 9541
FM,9567,PVG,CGO,905,1100,1 3 5 7,1:55,832,0,737,MU 9567
FM,802,TSA,PVG,1240,1455,3,2:15,674,0,738,
FM,821,CGO,PVG,1120,1310,12345 7,1:50,832,0,738,DL 6715
FM,821,PVG,KIX,1445,1830,1234567,2:45,1305,0,738,MU 9821
