Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,9214,LHW,SHA,1205,1445,12  5 7,2:40,1735,0,738,MU 9214
FM,9222,LHW,PVG,1430,1725,1234567,2:55,1778,0,738,MU 9222
FM,9243,WNZ,TXN,1325,1420,1234567,0:55,323,0,738,MU 9243
FM,9263,SHA,XMN,725,925,1234567,2:00,803,0,737,MU 9263
FM,9327,SHA,CAN,1730,2005,1234567,2:35,1175,0,789,MU 9327
FM,9335,WUT,BAV,1650,1755, 2 4 6 ,1:05,335,0,738,MU 9335
FM,9376,CGO,SHA,1830,2010,1234567,1:40,792,0,321,MU 9376
FM,9390,TLQ,CGO,1705,2100, 2 4 6 ,3:55,2332,0,737,MU 9390
FM,9399,CSX,WUZ,1320,1445,1234567,1:25,571,0,738,MU 9399
FM,9417,PVG,LYG,1740,1840,6,1:00,468,0,73H,MU 9417
FM,9430,KMG,HNY,1730,1920,1234567,1:50,987,0,738,MU 9430
FM,9451,SHA,KMG,900,1240,1 34 6 ,3:40,1922,0,737,MU 9451
FM,9465,CGO,DSN,1510,1640,1 3 5 7,1:30,655,0,738,MU 9465
FM,9520,WNZ,PVG,900,1010,1234567,1:10,370,0,738,"MU 9520,DL 6359,DL 6373"
FM,815,SHA,HND,840,1230,1234567,2:50,1775,0,789,MU  815
FM,846,HKG,SHA,1850,2120,1234567,2:30,1231,0,333,"MU 9846,HX 1814"
FM,855,PVG,BKK,1425,1805,1234567,4:40,2895,0,738,MU 9855
FM,884,BKK,WNZ,1435,1950, 2 4 6 ,4:15,2612,0,738,
FM,9115,SHA,TSN,1010,1215,1234567,2:05,953,0,73H,MU 9115
FM,9124,TVS,PVG,1050,1315,   4  7,2:25,1014,0,73H,MU 9124
FM,9165,WNZ,DYG,700,910,4,2:10,1025,0,738,MU 9165
FM,9213,SHA,LHW,740,1100,1234567,3:20,1735,0,738,MU 9213
FM,9220,URC,SHA,930,1355,1234567,4:25,3272,0,737,MU 9220
FM,9229,TAO,JXA,930,1145,  3 5 7,2:15,1352,0,73G,MU 9229
FM,9270,JGS,SHA,1740,1935,1234567,1:55,801,0,738,MU 9270
FM,9316,CAN,SHA,1930,2145,1234567,2:15,1175,0,737,MU 9316
FM,9337,PVG,NNG,1620,1925,1234567,3:05,1648,0,737,MU 9337
FM,9354,CGQ,WEH,1425,1610,2,1:45,809,0,738,MU 9354
FM,9391,SHA,CSX,1120,1310,1234567,1:50,851,0,738,MU 9391
FM,9453,KMG,JHG,1235,1340,1234567,1:05,412,0,73G,MU 9453
FM,9501,SHA,SWA,1705,1910,1234567,2:05,974,0,738,MU 9501
FM,9505,CGQ,YNT,830,1015,1 3 5 7,1:45,806,0,73H,MU 9505
FM,9505,YNT,SWA,1110,1415,1 3 5 7,3:05,1632,0,73H,MU 9505
FM,9548,HRB,TGO,1840,1955, 2 4 6 ,1:15,394,0,733,MU 9548
FM,9592,TOY,PVG,1440,1705,   4  7,3:25,1542,0,737,
FM,9126,RIZ,PVG,1815,1950,1 3 5 7,1:35,526,0,73H,MU 9126
FM,9186,SHE,SHA,1950,2245,1234567,2:55,1176,0,738,MU 9186
FM,9208,XIY,SHA,1300,1520,1234567,2:20,1228,0,738,MU 9208
FM,9231,TAO,DDG,930,1105, 2 4 6 ,1:35,539,0,738,MU 9231
FM,9335,PVG,WUT,1325,1600, 2 4 6 ,2:35,1154,0,738,MU 9335
FM,9398,CSX,PVG,1915,2120,1234567,2:05,890,0,738,"MU 9398,DL 6363"
FM,9447,CGO,KWL,1630,1835,1234567,2:05,1096,0,738,MU 9447
FM,9470,HRB,YNT,1830,2030,1234567,2:00,987,0,738,MU 9470
FM,9519,PVG,WNZ,2225,2345,1234567,1:20,370,0,738,"MU 9519,DL 6344"
FM,9542,KMG,CGO,1210,1445,1234567,2:35,1481,0,738,MU 9542
FM,812,HKG,PVG,1355,1645,7,2:50,1255,0,738,"MU 9812,HX 1812"
FM,818,MFM,SHA,1345,1610,1234567,2:25,1265,0,738,MU 9818
FM,819,PVG,TSA,1105,1240,1 3  6 ,1:35,674,0,738,
FM,9201,SHA,XIY,925,1155,1234567,2:30,1228,0,738,MU 9201
FM,9204,XIY,SHA,2000,2215,1234567,2:15,1228,0,738,MU 9204
FM,9246,KHN,SHA,1025,1200,1234567,1:35,583,0,738,MU 9246
FM,9257,PVG,XMN,2220,15,1234567,1:55,818,0,738,"MU 9257,DL 6735"
FM,9270,HAK,JGS,1445,1650,1234567,2:05,884,0,738,MU 9270
FM,9280,FUG,SHA,925,1035,1234567,1:10,558,0,738,MU 9280
FM,9297,SHA,SWA,1025,1225,1234567,2:00,974,0,737,MU 9297
FM,9340,NNG,SHA,1135,1415,1234567,2:40,1614,0,738,MU 9340
FM,9363,SHA,WUH,1830,2030,1,2:00,681,0,738,MU 9363
FM,9395,SHA,CSX,1845,2035,1234567,1:50,851,0,738,MU 9395
FM,9418,LYG,PVG,1950,2105,12345 7,1:15,468,0,738,MU 9418
FM,9466,DSN,CGO,1735,1905,1 3 5 7,1:30,655,0,738,MU 9466
FM,868,BKI,PVG,130,620,12 4 6 ,4:50,2863,0,73H,"MU 9868,DL 6348"
FM,886,KUL,PVG,1610,2210,1234567,6:00,3795,0,73H,MU 9802
FM,9102,PEK,SHA,2020,2250,1234567,2:30,1075,0,738,MU 9102
FM,9131,PVG,TSN,915,1125,1234567,2:10,975,0,737,MU 9131
FM,9148,TSN,SHA,1135,1340,1234567,2:05,953,0,737,MU 9148
FM,9176,WNZ,CGQ,1755,2115,1234567,3:20,1838,0,73H,MU 9176
FM,9269,SHA,JGS,910,1105,1234567,1:55,801,0,738,MU 9269
FM,9342,DYG,PVG,2340,145,1234567,2:05,1115,0,738,MU 9342
FM,9346,CGO,PVG,825,1020,1234567,1:55,832,0,738,"MU 9346,DL 6379"
FM,9416,LYG,SHA,1010,1125,1234567,1:15,439,0,738,MU 9416
FM,9468,CGO,SHA,2100,2250, 2 4 6 ,1:50,792,0,738,MU 9468
FM,9506,SWA,YNT,1500,1815,1 3 5 7,3:15,1632,0,73H,MU 9506
FM,9539,WNZ,KMG,725,1025,1234567,3:00,1806,0,738,MU 9539
FM,9545,PVG,WUT,1315,1600,1 3 5 7,2:45,1154,0,738,MU 9545
FM,831,PVG,HKT,1835,2245,1234567,5:10,3533,0,738,"MU 9831,DL 6351"
FM,834,BKK,PVG,1650,2225,1234567,4:35,2895,0,738,MU 9834
FM,9173,PVG,JNG,1115,1255, 2 4 6 ,1:40,686,0,738,MU 9173
FM,9182,DYG,SWA,1220,1405, 234 67,1:45,890,0,733,MU 9182
FM,9184,HSN,XMN,1730,1915,1234567,1:45,731,0,738,MU 9184
FM,9244,TXN,WNZ,2140,2240,1234567,1:00,323,0,738,MU 9244
FM,9372,YNJ,YNZ,1745,2010,1234567,2:25,1323,0,738,MU 9372
FM,9430,HNY,PVG,2020,2220,1234567,2:00,1007,0,738,MU 9430
FM,9459,PVG,KWE,2135,25,1234567,2:50,1545,0,738,"MU 9459,DL 6723"
FM,9469,WNZ,YNT,1235,1440,1234567,2:05,1083,0,738,MU 9469
FM,9515,SHA,WNZ,820,930,1234567,1:10,367,0,738,MU 9515
FM,9548,TGO,PVG,2050,2355, 2 4 6 ,3:05,1379,0,733,MU 9548
FM,9554,WEH,WNZ,2125,2325,1 3 5 7,2:00,1040,0,738,MU 9554
FM,811,PVG,HKG,940,1245,7,3:05,1255,0,738,"MU 9811,HX 1811"
FM,869,PVG,BUD,40,535,  3 5 7,10:55,8361,0,789,MU  869
FM,9219,URC,HTN,2020,2220,1234567,2:00,996,0,737,MU 9219
FM,9224,HTN,URC,2315,100,1234567,1:45,996,0,737,MU 9224
FM,9256,HDG,WNZ,1535,1750,1 3 5 7,2:15,1131,0,738,MU 9256
FM,9258,XMN,PVG,755,950,1234567,1:55,818,0,738,"MU 9258,DL 6736"
FM,9296,CGO,HGH,1355,1530,1234567,1:35,781,0,738,MU 9296
FM,9338,NNG,PVG,2015,2315,1234567,3:00,1648,0,737,MU 9338
FM,9453,SHA,KMG,815,1135,1234567,3:20,1922,0,73G,MU 9453
FM,9540,KMG,WNZ,1140,1435,1234567,2:55,1806,0,738,MU 9540
FM,9553,WEH,SHE,1650,1815,1 3 5 7,1:25,505,0,738,MU 9553
